district,record_date,weather_condition,rainfall,temperature,humidity,wind_speed,previous_cases,actual_cases
เมืองชลบุรี,2024-10-21,ฝนตก,80.0,28.3,71.1,8.0,32,39
เมืองชลบุรี,2024-10-28,ฝนตก,92.4,28.6,78.6,9.3,39,35
เมืองชลบุรี,2024-11-04,มีเมฆมาก,56.3,26.8,76.3,6.0,35,33
เมืองชลบุรี,2024-11-11,ฝนตก,83.9,27.6,75.8,9.0,33,30
เมืองชลบุรี,2024-11-18,ฝนตก,80.6,26.0,75.2,3.4,30,26
เมืองชลบุรี,2024-11-25,ฝนตก,90.0,27.9,74.3,4.5,26,21
เมืองชลบุรี,2024-12-02,มีเมฆบางส่วน,20.5,29.2,72.4,6.7,21,27
เมืองชลบุรี,2024-12-09,แจ่มใส,0.0,27.3,68.5,7.8,27,27
เมืองชลบุรี,2024-12-16,มีเมฆบางส่วน,40.1,28.0,69.0,10.1,27,32
เมืองชลบุรี,2024-12-23,แจ่มใส,11.2,26.9,75.9,7.6,32,31
เมืองชลบุรี,2024-12-30,มีเมฆบางส่วน,22.8,28.6,71.2,8.6,31,33
เมืองชลบุรี,2025-01-06,แจ่มใส,4.4,27.6,66.2,9.0,33,21
เมืองชลบุรี,2025-01-13,มีเมฆมาก,26.4,27.9,76.6,2.5,21,23
เมืองชลบุรี,2025-01-20,แจ่มใส,0.0,27.7,69.2,7.6,23,22
เมืองชลบุรี,2025-01-27,แจ่มใส,8.9,28.4,63.9,9.6,22,25
เมืองชลบุรี,2025-02-03,แจ่มใส,13.5,29.6,71.0,12.7,25,25
เมืองชลบุรี,2025-02-10,แจ่มใส,0.0,28.7,62.8,5.1,25,21
เมืองชลบุรี,2025-02-17,แจ่มใส,3.4,29.4,68.6,6.2,21,27
เมืองชลบุรี,2025-02-24,มีเมฆบางส่วน,21.3,29.1,67.1,9.3,27,27
เมืองชลบุรี,2025-03-03,แจ่มใส,0.0,30.1,69.3,5.9,27,27
เมืองชลบุรี,2025-03-10,แจ่มใส,0.0,31.1,74.2,7.4,27,29
เมืองชลบุรี,2025-03-17,แจ่มใส,0.0,29.3,66.5,5.5,29,29
เมืองชลบุรี,2025-03-24,มีเมฆบางส่วน,56.3,29.3,70.0,8.5,29,35
เมืองชลบุรี,2025-03-31,มีเมฆมาก,0.0,30.3,77.1,4.2,35,26
เมืองชลบุรี,2025-04-07,มีเมฆบางส่วน,23.2,30.5,74.6,8.6,26,22
เมืองชลบุรี,2025-04-14,มีเมฆมาก,43.8,30.4,79.2,6.6,22,27
เมืองชลบุรี,2025-04-21,มีเมฆบางส่วน,44.4,31.4,75.1,4.1,27,33
เมืองชลบุรี,2025-04-28,แจ่มใส,9.7,31.0,62.0,9.0,33,26
เมืองชลบุรี,2025-05-05,มีเมฆบางส่วน,31.8,31.6,72.7,6.6,26,34
เมืองชลบุรี,2025-05-12,มีเมฆบางส่วน,50.3,31.1,74.9,6.6,34,35
เมืองชลบุรี,2025-05-19,มีเมฆมาก,48.3,30.8,80.1,5.6,35,26
เมืองชลบุรี,2025-05-26,ฝนตก,95.4,32.9,76.5,3.5,26,34
เมืองชลบุรี,2025-06-02,ฝนตก,81.2,30.7,71.4,9.3,34,35
เมืองชลบุรี,2025-06-09,มีเมฆมาก,54.6,31.3,84.3,8.4,35,34
เมืองชลบุรี,2025-06-16,ฝนตก,84.4,31.3,68.6,8.4,34,33
เมืองชลบุรี,2025-06-23,ฝนฟ้าคะนอง,128.2,30.7,90.4,5.5,33,41
เมืองชลบุรี,2025-06-30,ฝนตก,94.5,30.2,79.3,10.8,41,36
เมืองชลบุรี,2025-07-07,ฝนตก,70.4,30.1,71.2,7.2,36,33
เมืองชลบุรี,2025-07-14,ฝนตก,70.1,29.0,78.1,6.8,33,24
เมืองชลบุรี,2025-07-21,ฝนฟ้าคะนอง,124.9,30.3,78.2,5.0,24,37
เมืองชลบุรี,2025-07-28,ฝนฟ้าคะนอง,115.3,31.8,82.8,8.9,37,38
เมืองชลบุรี,2025-08-04,ฝนฟ้าคะนอง,133.0,29.6,88.9,6.8,38,38
เมืองชลบุรี,2025-08-11,ฝนตก,104.5,29.8,87.0,6.9,38,36
เมืองชลบุรี,2025-08-18,ฝนฟ้าคะนอง,121.9,29.0,86.2,2.8,36,35
เมืองชลบุรี,2025-08-25,ฝนตก,97.8,27.6,73.9,5.9,35,32
เมืองชลบุรี,2025-09-01,ฝนฟ้าคะนอง,132.1,28.1,77.4,7.9,32,38
เมืองชลบุรี,2025-09-08,ฝนตก,86.2,27.6,80.3,7.5,38,36
เมืองชลบุรี,2025-09-15,ฝนฟ้าคะนอง,107.3,28.7,74.6,8.0,36,34
เมืองชลบุรี,2025-09-22,ฝนตก,80.9,27.2,80.3,7.2,34,29
เมืองชลบุรี,2025-09-29,ฝนฟ้าคะนอง,105.5,29.0,68.2,4.6,29,29
เมืองชลบุรี,2025-10-06,ฝนฟ้าคะนอง,119.6,27.8,85.0,5.4,29,30
เมืองชลบุรี,2025-10-13,ฝนตก,97.4,27.6,81.5,7.6,30,33
เมืองชลบุรี,2025-10-20,ฝนตก,91.0,28.1,82.0,4.3,33,26
เมืองชลบุรี,2025-10-27,ฝนฟ้าคะนอง,109.5,28.4,74.9,3.7,26,32
เมืองชลบุรี,2025-11-03,ฝนตก,80.5,28.6,79.4,7.1,32,30
เมืองชลบุรี,2025-11-10,มีเมฆบางส่วน,60.3,27.1,69.6,12.7,30,33
เมืองชลบุรี,2025-11-17,ฝนตก,85.0,26.7,81.6,9.5,33,33
เมืองชลบุรี,2025-11-24,ฝนตก,87.5,27.7,81.3,9.5,33,33
เมืองชลบุรี,2025-12-01,แจ่มใส,0.0,27.6,65.2,5.1,33,32
เมืองชลบุรี,2025-12-08,ฝนตก,70.5,28.5,77.0,11.1,32,31
เมืองชลบุรี,2025-12-15,มีเมฆบางส่วน,37.0,26.8,74.1,8.1,31,24
เมืองชลบุรี,2025-12-22,มีเมฆมาก,31.4,27.5,80.4,10.1,24,26
บ้านบึง,2023-01-02,แจ่มใส,0.0,27.4,70.6,8.9,7,7
บ้านบึง,2023-01-09,แจ่มใส,9.7,28.9,74.4,10.4,7,15
บ้านบึง,2023-01-16,แจ่มใส,0.0,27.5,69.7,8.9,15,19
บ้านบึง,2023-01-23,มีเมฆบางส่วน,36.6,28.2,65.8,7.3,19,20
บ้านบึง,2023-01-30,แจ่มใส,7.9,27.8,70.1,6.8,20,16
บ้านบึง,2023-02-06,แจ่มใส,11.9,28.9,70.5,8.6,16,14
บ้านบึง,2023-02-13,แจ่มใส,0.0,30.2,62.2,3.1,14,11
บ้านบึง,2023-02-20,แจ่มใส,5.6,29.2,68.0,10.8,11,7
บ้านบึง,2023-02-27,แจ่มใส,13.7,30.3,63.9,7.1,7,13
บ้านบึง,2023-03-06,แจ่มใส,0.0,29.9,75.1,12.2,13,16
บ้านบึง,2023-03-13,มีเมฆมาก,54.3,30.2,82.7,7.8,16,23
บ้านบึง,2023-03-20,มีเมฆบางส่วน,20.4,32.4,74.5,6.4,23,27
บ้านบึง,2023-03-27,แจ่มใส,4.4,29.8,73.0,8.1,27,23
บ้านบึง,2023-04-03,มีเมฆบางส่วน,32.8,31.1,73.7,3.5,23,26
บ้านบึง,2023-04-10,แจ่มใส,10.9,29.8,68.9,8.2,26,19
บ้านบึง,2023-04-17,มีเมฆบางส่วน,50.8,29.9,71.6,6.7,19,22
บ้านบึง,2023-04-24,มีเมฆบางส่วน,38.6,30.1,75.9,8.1,22,17
บ้านบึง,2023-05-01,แจ่มใส,16.9,31.1,68.8,7.8,17,20
บ้านบึง,2023-05-08,มีเมฆบางส่วน,65.0,31.8,69.6,5.3,20,21
บ้านบึง,2023-05-15,ฝนตก,66.4,32.0,73.1,2.2,21,20
บ้านบึง,2023-05-22,มีเมฆบางส่วน,41.7,30.7,70.5,8.1,20,21
บ้านบึง,2023-05-29,ฝนตก,83.1,30.6,72.8,9.1,21,20
บ้านบึง,2023-06-05,ฝนตก,96.1,30.9,77.8,11.7,20,24
บ้านบึง,2023-06-12,ฝนฟ้าคะนอง,132.8,30.7,76.2,8.2,24,25
บ้านบึง,2023-06-19,ฝนตก,71.0,31.1,78.6,6.6,25,30
บ้านบึง,2023-06-26,ฝนฟ้าคะนอง,113.0,31.9,83.1,11.1,30,25
บ้านบึง,2023-07-03,ฝนตก,100.6,29.5,79.7,6.7,25,27
บ้านบึง,2023-07-10,ฝนฟ้าคะนอง,149.0,30.0,86.5,7.5,27,32
บ้านบึง,2023-07-17,ฝนฟ้าคะนอง,107.8,30.5,85.7,11.8,32,32
บ้านบึง,2023-07-24,ฝนฟ้าคะนอง,120.6,29.3,80.8,10.2,32,33
บ้านบึง,2023-07-31,ฝนฟ้าคะนอง,112.3,30.8,82.8,10.8,33,32
บ้านบึง,2023-08-07,ฝนฟ้าคะนอง,107.2,29.4,65.1,8.9,32,16
บ้านบึง,2023-08-14,ฝนตก,77.1,29.5,78.9,5.3,16,21
บ้านบึง,2023-08-21,ฝนฟ้าคะนอง,145.2,28.9,95.2,8.0,21,31
บ้านบึง,2023-08-28,ฝนฟ้าคะนอง,150.6,29.3,79.6,7.7,31,31
บ้านบึง,2023-09-04,ฝนตก,77.6,28.1,72.8,10.1,31,25
บ้านบึง,2023-09-11,ฝนตก,101.4,28.2,80.3,9.4,25,23
บ้านบึง,2023-09-18,ฝนตก,84.7,29.0,75.3,4.7,23,26
บ้านบึง,2023-09-25,ฝนฟ้าคะนอง,117.8,27.2,82.1,9.7,26,28
บ้านบึง,2023-10-02,ฝนตก,101.4,26.6,80.8,7.3,28,25
บ้านบึง,2023-10-09,ฝนฟ้าคะนอง,106.7,28.6,88.7,11.0,25,27
บ้านบึง,2023-10-16,ฝนตก,95.3,28.1,79.1,8.3,27,29
บ้านบึง,2023-10-23,ฝนตก,86.2,27.0,75.4,9.5,29,25
บ้านบึง,2023-10-30,ฝนตก,95.0,28.0,76.6,9.7,25,26
บ้านบึง,2023-11-06,มีเมฆบางส่วน,32.8,28.3,69.1,4.2,26,19
บ้านบึง,2023-11-13,มีเมฆบางส่วน,37.5,27.3,70.8,7.2,19,21
บ้านบึง,2023-11-20,ฝนตก,67.5,27.5,77.5,9.4,21,15
บ้านบึง,2023-11-27,มีเมฆบางส่วน,52.0,25.8,73.9,8.0,15,22
บ้านบึง,2023-12-04,มีเมฆบางส่วน,58.6,27.7,71.9,9.1,22,19
บ้านบึง,2023-12-11,มีเมฆบางส่วน,32.5,28.2,68.8,9.9,19,21
บ้านบึง,2023-12-18,แจ่มใส,11.5,28.2,72.8,8.2,21,16
บ้านบึง,2023-12-25,แจ่มใส,13.6,27.2,72.2,5.8,16,18
บ้านบึง,2024-01-01,แจ่มใส,0.0,28.1,68.5,13.6,18,12
บ้านบึง,2024-01-08,มีเมฆบางส่วน,44.8,28.4,75.0,8.3,12,20
บ้านบึง,2024-01-15,แจ่มใส,9.0,29.3,66.7,10.6,20,16
บ้านบึง,2024-01-22,แจ่มใส,11.0,27.5,71.5,11.3,16,16
บ้านบึง,2024-01-29,แจ่มใส,8.0,27.5,67.7,4.3,16,14
บ้านบึง,2024-02-05,มีเมฆมาก,10.0,30.1,83.1,6.7,14,24
บ้านบึง,2024-02-12,แจ่มใส,10.4,29.1,71.3,8.1,24,21
บ้านบึง,2024-02-19,แจ่มใส,0.0,28.2,60.3,9.5,21,16
บ้านบึง,2024-02-26,แจ่มใส,0.0,29.2,72.0,8.4,16,15
บ้านบึง,2024-03-04,มีเมฆบางส่วน,39.3,31.3,74.8,10.2,15,25
บ้านบึง,2024-03-11,มีเมฆบางส่วน,37.2,30.6,75.1,9.2,25,20
บ้านบึง,2024-03-18,มีเมฆบางส่วน,27.8,29.2,67.1,11.0,20,22
บ้านบึง,2024-03-25,มีเมฆบางส่วน,45.1,30.0,67.2,7.4,22,22
บ้านบึง,2024-04-01,มีเมฆบางส่วน,34.2,31.6,70.0,8.8,22,20
บ้านบึง,2024-04-08,มีเมฆบางส่วน,42.4,30.8,68.9,7.5,20,21
บ้านบึง,2024-04-15,มีเมฆบางส่วน,26.6,32.1,70.4,7.4,21,16
บ้านบึง,2024-04-22,แจ่มใส,12.8,30.7,66.0,11.2,16,18
บ้านบึง,2024-04-29,มีเมฆบางส่วน,60.8,30.9,74.9,7.8,18,23
บ้านบึง,2024-05-06,ฝนตก,97.8,29.5,68.8,6.8,23,25
บ้านบึง,2024-05-13,ฝนตก,75.2,31.4,74.3,10.3,25,29
บ้านบึง,2024-05-20,มีเมฆมาก,64.0,31.8,76.4,6.7,29,30
บ้านบึง,2024-05-27,มีเมฆมาก,62.4,31.1,82.2,2.4,30,24
บ้านบึง,2024-06-03,มีเมฆบางส่วน,61.4,30.6,73.5,4.5,24,22
บ้านบึง,2024-06-10,ฝนตก,68.6,32.6,84.6,7.1,22,26
บ้านบึง,2024-06-17,มีเมฆบางส่วน,62.2,29.5,74.3,5.7,26,25
บ้านบึง,2024-06-24,มีเมฆบางส่วน,52.3,30.3,74.5,8.8,25,26
บ้านบึง,2024-07-01,ฝนตก,78.6,30.7,72.6,9.5,26,26
บ้านบึง,2024-07-08,ฝนตก,77.4,29.9,78.3,9.4,26,26
บ้านบึง,2024-07-15,ฝนฟ้าคะนอง,141.3,30.9,82.3,9.7,26,37
บ้านบึง,2024-07-22,ฝนฟ้าคะนอง,150.8,29.3,80.0,11.4,37,30
บ้านบึง,2024-07-29,ฝนตก,78.5,29.8,78.7,7.8,30,25
บ้านบึง,2024-08-05,ฝนตก,100.2,28.7,74.6,13.2,25,26
บ้านบึง,2024-08-12,ฝนฟ้าคะนอง,134.5,28.9,81.9,6.4,26,21
บ้านบึง,2024-08-19,ฝนตก,84.7,27.9,66.1,5.3,21,27
บ้านบึง,2024-08-26,ฝนฟ้าคะนอง,114.0,30.1,82.6,9.8,27,26
บ้านบึง,2024-09-02,ฝนฟ้าคะนอง,119.2,28.8,78.2,9.3,26,29
บ้านบึง,2024-09-09,ฝนตก,95.5,27.5,72.6,8.2,29,27
บ้านบึง,2024-09-16,ฝนตก,90.2,28.3,80.8,9.4,27,31
บ้านบึง,2024-09-23,ฝนฟ้าคะนอง,135.7,27.5,91.3,6.8,31,34
บ้านบึง,2024-09-30,ฝนฟ้าคะนอง,109.1,28.0,71.0,7.6,34,23
บ้านบึง,2024-10-07,ฝนฟ้าคะนอง,108.8,28.6,76.0,8.7,23,23
บ้านบึง,2024-10-14,ฝนตก,73.7,28.1,75.9,12.0,23,21
บ้านบึง,2024-10-21,ฝนฟ้าคะนอง,109.5,27.6,84.0,7.0,21,25
บ้านบึง,2024-10-28,ฝนตก,85.0,27.0,80.7,9.5,25,26
บ้านบึง,2024-11-04,ฝนตก,93.8,28.3,76.4,8.9,26,23
บ้านบึง,2024-11-11,มีเมฆมาก,60.5,26.9,82.8,8.8,23,22
บ้านบึง,2024-11-18,ฝนตก,86.3,25.8,67.4,9.8,22,22
บ้านบึง,2024-11-25,ฝนตก,65.5,26.4,75.1,12.6,22,24
บ้านบึง,2024-12-02,มีเมฆบางส่วน,36.2,27.2,70.0,3.1,24,22
บ้านบึง,2024-12-09,มีเมฆบางส่วน,51.1,26.5,70.3,5.3,22,17
บ้านบึง,2024-12-16,มีเมฆบางส่วน,33.7,26.1,74.8,9.7,17,17
บ้านบึง,2024-12-23,แจ่มใส,0.0,26.9,74.2,1.6,17,16
บ้านบึง,2024-12-30,แจ่มใส,6.5,28.1,65.3,8.9,16,18
บ้านบึง,2025-01-06,มีเมฆบางส่วน,52.8,28.1,75.7,4.6,18,25
บ้านบึง,2025-01-13,แจ่มใส,0.0,27.9,67.9,4.4,25,20
บ้านบึง,2025-01-20,มีเมฆบางส่วน,33.7,28.5,63.8,7.7,20,21
บ้านบึง,2025-01-27,แจ่มใส,0.0,27.5,72.4,8.6,21,19
บ้านบึง,2025-02-03,มีเมฆมาก,45.9,29.5,76.3,14.2,19,20
บ้านบึง,2025-02-10,แจ่มใส,0.0,29.5,70.2,6.8,20,16
บ้านบึง,2025-02-17,มีเมฆบางส่วน,55.8,29.4,70.5,10.1,16,20
บ้านบึง,2025-02-24,แจ่มใส,0.0,29.6,61.5,8.8,20,24
บ้านบึง,2025-03-03,มีเมฆบางส่วน,22.6,29.9,68.0,7.1,24,21
บ้านบึง,2025-03-10,แจ่มใส,4.1,30.8,59.8,10.0,21,18
บ้านบึง,2025-03-17,มีเมฆมาก,20.7,29.4,76.9,10.9,18,23
บ้านบึง,2025-03-24,แจ่มใส,0.0,30.7,70.0,4.3,23,21
บ้านบึง,2025-03-31,มีเมฆบางส่วน,20.4,30.5,71.1,8.7,21,26
บ้านบึง,2025-04-07,มีเมฆบางส่วน,59.5,28.8,73.0,7.6,26,18
บ้านบึง,2025-04-14,มีเมฆบางส่วน,34.6,31.7,66.4,8.8,18,18
บ้านบึง,2025-04-21,แจ่มใส,17.7,31.9,67.2,9.1,18,14
บ้านบึง,2025-04-28,ฝนตก,73.5,31.3,75.2,9.3,14,18
บ้านบึง,2025-05-05,ฝนตก,86.0,30.9,76.4,6.9,18,23
บ้านบึง,2025-05-12,ฝนตก,75.3,31.3,79.5,8.0,23,28
บ้านบึง,2025-05-19,มีเมฆบางส่วน,50.8,32.7,65.7,10.9,28,30
บ้านบึง,2025-05-26,มีเมฆมาก,41.3,32.7,77.5,10.2,30,27
บ้านบึง,2025-06-02,ฝนตก,82.7,30.7,79.1,11.2,27,28
บ้านบึง,2025-06-09,ฝนตก,67.4,31.4,80.0,9.5,28,30
บ้านบึง,2025-06-16,ฝนตก,81.5,30.2,72.6,4.2,30,29
บ้านบึง,2025-06-23,ฝนตก,85.7,30.5,62.6,5.1,29,30
บ้านบึง,2025-06-30,ฝนตก,72.9,31.1,69.1,11.3,30,26
บ้านบึง,2025-07-07,ฝนฟ้าคะนอง,114.0,31.8,88.1,7.3,26,29
บ้านบึง,2025-07-14,ฝนตก,100.5,30.5,78.5,7.1,29,34
บ้านบึง,2025-07-21,ฝนฟ้าคะนอง,105.1,31.8,80.0,12.1,34,33
บ้านบึง,2025-07-28,ฝนฟ้าคะนอง,128.8,29.6,77.9,9.1,33,34
บ้านบึง,2025-08-04,ฝนฟ้าคะนอง,115.9,28.3,73.9,4.7,34,24
บ้านบึง,2025-08-11,ฝนฟ้าคะนอง,117.4,30.0,80.8,2.8,24,28
บ้านบึง,2025-08-18,ฝนฟ้าคะนอง,111.4,30.7,73.0,7.1,28,34
บ้านบึง,2025-08-25,ฝนฟ้าคะนอง,124.9,29.6,82.3,8.8,34,34
บ้านบึง,2025-09-01,ฝนตก,89.8,28.9,71.0,8.8,34,28
บ้านบึง,2025-09-08,ฝนตก,94.1,28.2,75.2,5.5,28,25
